;acceleration
1377;-0,00126
1378;0,00645
1379;0,01417
1380;0,02039
1381;0,02661
1382;0,03283
1383;0,03905
1384;0,04527
1385;0,03639
1386;0,0275
1387;0,01862
1388;0,00974
1389;0,00086
1390;-0,01333
1391;-0,02752
1392;-0,04171
1393;-0,02812
1394;-0,01453
1395;-0,00094
1396;0,01264
1397;0,02623
1398;0,0169
1399;0,00756
1400;-0,00177
1401;-0,01111
1402;-0,02044
1403;-0,02977
1404;-0,03911
1405;-0,02442
1406;-0,00973
1407;0,00496
1408;0,01965
1409;0,03434
1410;0,02054
1411;0,00674
1412;-0,00706
1413;-0,02086
1414;-0,03466
1415;-0,02663
1416;-0,0186
1417;-0,01057
1418;-0,00254
1419;-0,00063
1420;0,00128
1421;0,00319
1422;0,0051
1423;0,00999
1424;0,01488
1425;0,00791
1426;0,00093
1427;-0,00605
1428;0,00342
1429;0,01288
1430;0,02235
1431;0,03181
1432;0,04128
1433;0,02707
1434;0,01287
1435;-0,00134
1436;-0,01554
1437;-0,02975
1438;-0,04395
1439;-0,03612
1440;-0,02828
1441;-0,02044
1442;-0,0126
1443;-0,00476
1444;0,00307
1445;0,01091
1446;0,00984
1447;0,00876
1448;0,00768
1449;0,00661
1450;0,01234
1451;0,01807
1452;0,0238
1453;0,02953
1454;0,03526
1455;0,02784
1456;0,02042
1457;0,013
1458;-0,03415
1459;-0,00628
1460;-0,00621
1461;-0,00615
1462;-0,00609
1463;-0,00602
1464;-0,00596
1465;-0,0059
1466;-0,00583
1467;-0,00577
1468;-0,00571
1469;-0,00564
1470;-0,00558
1471;-0,00552
1472;-0,00545
1473;-0,00539
1474;-0,00532
1475;-0,00526
1476;-0,0052
1477;-0,00513
1478;-0,00507
1479;-0,00501
1480;-0,00494
1481;-0,00488
1482;-0,00482
1483;-0,00475
1484;-0,00469
1485;-0,00463
1486;-0,00456
1487;-0,0045
1488;-0,00444
1489;-0,00437
1490;-0,00431
1491;-0,00425
1492;-0,00418
1493;-0,00412
1494;-0,00406
1495;-0,00399
1496;-0,00393
1497;-0,00387
1498;-0,0038
1499;-0,00374
1500;-0,00368
1501;-0,00361
1502;-0,00355
1503;-0,00349
1504;-0,00342
1505;-0,00336
1506;-0,0033
1507;-0,00323
1508;-0,00317
1509;-0,00311
1510;-0,00304
1511;-0,00298
1512;-0,00292
1513;-0,00285
1514;-0,00279
1515;-0,00273
1516;-0,00266
1517;-0,0026
1518;-0,00254
1519;-0,00247
1520;-0,00241
1521;-0,00235
1522;-0,00228
1523;-0,00222
1524;-0,00216
1525;-0,00209
1526;-0,00203
1527;-0,00197
1528;-0,0019
1529;-0,00184
1530;-0,00178
1531;-0,00171
1532;-0,00165
1533;-0,00158
1534;-0,00152
1535;-0,00146
1536;-0,00139
1537;-0,00133
1538;-0,00127
1539;-0,0012
1540;-0,00114
1541;-0,00108
1542;-0,00101
1543;-0,00095
1544;-0,00089
1545;-0,00082
1546;-0,00076
1547;-0,0007
1548;-0,00063
1549;-0,00057
1550;-0,00051
1551;-0,00044
